NumBonPese,DesignationArticle,DateBR,CodeFournisseur,NomBateau,QteRecue,QteFacturée,Qualite,Moule,PU,MontantAchat
BP052550,SARDINE,2019-01-03,FO001,BAT029,6248.69,5939.86,A,nan,0.3971457,18095.49738
BP052550,DECHET ENTIER,2019-01-03,FO001,BAT029,752.94,752.94,nan,nan,0.04785433,2180.428948
BP052551,SARDINE,2019-01-03,FO001,BAT024,5749.4,5410.31,A,nan,0.3962371,16649.61068
BP052551,DECHET ENTIER,2019-01-03,FO001,BAT024,707.55,707.55,nan,nan,0.04876292,2048.984683
BP052492,SARDINE,2019-01-03,FM555,BAT041,9495.41,9287.229,A,nan,4.005,33233.935
BP052506,SARDINE,2019-01-03,FM555,BAT041,16044.92,18896.48,A,nan,6.244132,56157.22
BP052506,SARDINE,2019-01-03,FM555,BAT041,1107.16,0.0,B,nan,0.4308687,3875.06
BP052500,SARDINE,2019-01-03,FM555,BAT041,16545.1,19781.58,A,nan,6.413161,57907.85
BP052500,MAQUEREAU,2019-01-03,FS500,BAT025,0.0,143.29,A,S,0.0,0.0
BP052500,MAQUEREAU,2019-01-03,FS500,BAT025,0.0,286.58,A,2S,0.0,0.0
BP052500,MAQUEREAU,2019-01-03,FS500,BAT025,338.2,367.57,A,3S,0.131092,811.6800543
BP052500,MAQUEREAU,2019-01-03,FS500,BAT025,123.71,0.0,A,M,0.04795209,581.4369891
BP052500,MAQUEREAU,2019-01-03,FS500,BAT025,213.6,0.0,B,3S,0.08279498,512.64
BP052514,SARDINE,2019-01-03,FS500,BAT045,16468.56,19384.2,A,nan,6.076063,59286.81461
BP052514,SARDINE,2019-01-03,FS500,BAT045,1623.36,0.0,B,nan,0.5989374,5681.76
BP052524,SARDINE,2019-01-04,FS500,BAT045,16474.79,19384.2,A,nan,6.2572,59309.24539
BP052524,SARDINE,2019-01-04,FS500,BAT045,1100.04,0.0,B,nan,0.4178002,3960.144087
BP052525,SARDINE,2019-01-04,FS500,BAT045,14485.64,19384.2,A,nan,5.414248,52872.58809
BP052525,SARDINE,2019-01-04,FS500,BAT045,3373.1,0.0,B,nan,1.260752,12311.815
BP052529,SARDINE,2019-01-04,FS500,BAT045,16649.23,19384.2,A,nan,6.259109,60769.69367
BP052529,SARDINE,2019-01-04,FS500,BAT045,1106.27,0.0,B,nan,0.415891,4037.885674
BP052639,SARDINE,2019-01-04,FO001,BAT024,9604.88,9309.399,A,nan,0.623,27814.6433
BP052542,SARDINE,2019-01-05,FS500,BAT045,16415.16,19384.2,A,nan,5.627626,59094.57461
BP052542,SARDINE,2019-01-05,FS500,BAT045,1108.05,0.0,B,nan,0.3798739,3988.98
BP052590,SARDINE,2019-01-05,FS500,BAT025,1522.79,1448.03,A,nan,0.5937884,4568.37
BP052590,MAQUEREAU,2019-01-06,FS500,BAT025,0.0,67.64,A,2S,0.0,0.0
BP052590,MAQUEREAU,2019-01-06,FS500,BAT025,0.0,612.32,A,3S,0.0,0.0
BP052590,SARDINE,2019-01-05,FM500,BAT025,11926.0,14371.31,A,nan,4.650359,36374.3
BP052590,MAQUEREAU,2019-01-06,FM500,BAT025,0.0,25.2137,A,L,0.0,0.0
BP052590,MAQUEREAU,2019-01-06,FM500,BAT025,590.07,159.6838,A,M,0.2300886,3510.91637
BP052590,MAQUEREAU,2019-01-06,FM500,BAT025,0.0,235.3427,A,S,0.0,0.0
BP052590,MAQUEREAU,2019-01-06,FM500,BAT025,0.0,268.9669,A,2S,0.0,0.0
BP052590,MAQUEREAU,2019-01-06,FM500,BAT025,124.6,151.2911,A,3S,0.04858584,355.11
BP052590,MAQUEREAU,2019-01-06,FS500,BAT025,248.31,0.0,A,M,0.09682464,1167.056935
BP052590,DECHET ENTIER,2019-01-06,FS500,BAT025,395.16,0.0,nan,nan,0.1540865,1145.964087
BP052590,SARDINE,2019-01-05,FM500,BAT025,2214.32,0.0,B,nan,0.8634397,6753.675913
BP052590,DECHET ENTIER,2019-01-06,FM500,BAT025,97.01,0.0,nan,nan,0.03782754,276.4784946
BP052539,SARDINE,2019-01-05,FH500,BAT026,14879.91,18914.37,A,nan,5.489932,53567.67461
BP052539,SARDINE,2019-01-05,FH500,BAT026,3212.01,0.0,B,nan,1.185069,11563.23548
BP052547,SARDINE,2019-01-05,FM500,BAT025,10429.02,16392.55,A,nan,4.271855,37023.01961
BP052547,SARDINE,2019-01-05,FH500,BAT026,2214.32,1057.854,A,nan,0.9070126,7971.551826
BP052547,SARDINE,2019-01-05,FM500,BAT025,2545.4,0.0,B,nan,1.042627,9036.17
BP052547,SARDINE,2019-01-05,FH500,BAT026,1107.16,0.0,B,nan,0.4535063,3985.775913
BP052644,MAQUEREAU,2019-01-06,FS500,BAT045,295.48,93.45,A,M,0.1219648,1625.14
BP052644,MAQUEREAU,2019-01-06,FS500,BAT045,0.0,106.8,A,S,0.0,0.0
BP052644,MAQUEREAU,2019-01-06,FS500,BAT045,0.0,253.65,A,2S,0.0,0.0
BP052644,MAQUEREAU,2019-01-06,FS500,BAT045,961.2,894.45,A,3S,0.3967529,2595.24
BP052644,SARDINE,2019-01-05,FS500,BAT045,13807.46,15979.95,A,nan,5.699282,49706.85461
BP052644,SARDINE,2019-01-05,FS500,BAT045,1107.16,0.0,B,nan,0.4570006,3875.06
BP052697,SARDINE,2019-01-06,FM555,BAT041,16824.56,19099.81,A,nan,6.21444,58885.96
BP052697,SARDINE,2019-01-06,FM555,BAT041,1246.89,0.0,B,nan,0.4605602,4364.115
BP052702,SARDINE,2019-01-06,FM555,BAT041,3496.81,7464.358,A,nan,1.352906,12238.835
BP052702,MAQUEREAU,2019-01-06,FM555,BAT041,325.74,22.6238,A,M,0.1260279,1921.86613
BP052702,MAQUEREAU,2019-01-06,FM555,BAT041,0.0,157.5389,A,S,0.0,0.0
BP052702,MAQUEREAU,2019-01-06,FM555,BAT041,0.0,509.0622,A,2S,0.0,0.0
BP052702,MAQUEREAU,2019-01-06,FM555,BAT041,658.6,441.0395,A,3S,0.2548104,1844.08
BP052702,SARDINE,2019-01-06,FS500,BAT025,11400.9,9645.82,A,nan,4.410975,34202.7
BP052702,SARDINE,2019-01-06,FM555,BAT041,1335.0,0.0,B,nan,0.5165076,4672.5
BP052702,MAQUEREAU,2019-01-06,FM555,BAT041,35.6,0.0,B,3S,13.77354,99.68
BP052794,SARDINE,2019-01-07,FO001,BAT007,8895.55,8750.479,A,nan,0.623,25760.50418
BP052796,SARDINE,2019-01-07,FO001,BAT024,7754.57,7410.14,A,nan,0.445,22456.35658
BP052797,SARDINE,2019-01-07,FO001,BAT007,8846.6,8376.68,A,nan,0.4450001,25618.75082
BP052798,SARDINE,2019-01-07,FO001,BAT007,8021.57,7725.2,A,nan,0.445,23229.55799
BP052799,SARDINE,2019-01-07,FO001,BAT024,21017.35,20599.05,A,nan,1.312272,60863.8668
BP052799,SARDINE,2019-01-07,FO001,BAT024,364.01,364.01,B,nan,0.0227279,1054.131666
BP052800,SARDINE,2019-01-07,FO001,BAT024,6371.51,5904.26,A,nan,0.4093223,18451.17059
BP052800,SARDINE,2019-01-07,FO001,BAT024,555.36,555.36,B,nan,0.03567776,1608.259659
BP052879,SARDINE,2019-01-08,FO001,BAT007,25024.13,24841.68,A,nan,1.328997,72467.04711
BP052879,SARDINE,2019-01-08,FO001,BAT007,113.03,106.8,B,nan,6.002868,327.3220804
BP052950,SARDINE,2019-01-09,FO001,BAT009,6776.46,6410.67,A,nan,0.4142597,19623.86031
BP052950,DECHET ENTIER,2019-01-09,FO001,BAT009,502.85,502.85,nan,nan,0.03074031,1456.196554
BP052987,SARDINE,2019-01-09,FO001,BAT007,6699.03,6519.25,A,nan,0.4271251,19399.63246
BP052987,DECHET ENTIER,2019-01-09,FO001,BAT007,280.35,280.35,nan,nan,17.8749,811.8618134
BP053028,SARDINE,2019-01-10,FO001,BAT024,16303.02,15886.5,A,nan,1.14359,47211.69789
BP053028,DECHET ENTIER,2019-01-10,FO001,BAT024,2728.74,2728.74,nan,nan,0.1914099,7902.121396
BP053029,SARDINE,2019-01-10,FO001,BAT024,5230.53,4673.39,A,nan,0.3513253,15147.02125
BP053029,DECHET ENTIER,2019-01-10,FO001,BAT024,1394.63,1394.63,nan,nan,0.09367478,4038.690498
BP053037,SARDINE,2019-01-10,FO001,BAT009,5697.78,5503.76,A,nan,0.3574965,16500.12545
BP053037,DECHET ENTIER,2019-01-10,FO001,BAT009,1394.63,1394.63,nan,nan,0.08750346,4038.690498
BP053095,SARDINE,2019-01-11,FO001,BAT007,6699.03,6336.8,A,nan,0.3710552,19399.63246
BP053095,DECHET ENTIER,2019-01-11,FO001,BAT007,1335.0,1335.0,nan,nan,0.07394483,3866.00877
BP053109,SARDINE,2019-01-11,FO001,BAT042,5524.23,5364.03,A,nan,0.445,15997.54314
BP053221,SARDINE,2019-01-14,FO001,BAT009,5779.66,5663.96,A,nan,0.3856192,16737.24092
BP053221,DECHET ENTIER,2019-01-14,FO001,BAT009,890.0,890.0,nan,nan,0.05938084,2577.33918
BP053219,SARDINE,2019-01-14,FO001,BAT029,17102.24,16813.88,A,nan,1.209152,49526.14984
BP053219,DECHET ENTIER,2019-01-14,FO001,BAT029,1780.0,1780.0,nan,nan,0.1258484,5154.678359
BP053245,SARDINE,2019-01-14,FO001,BAT011,9451.8,8908.899,A,nan,0.5728364,27371.3416
BP053245,SARDINE,2019-01-14,FO001,BAT011,827.7,827.7,B,nan,0.05016364,2396.925359
BP052621,SARDINE,2019-01-04,FS500,BAT025,5844.63,7797.29,A,nan,2.958009,17533.89
BP052621,MAQUEREAU,2019-01-04,FS500,BAT025,0.0,90.78,A,2S,0.0,0.0
BP052621,MAQUEREAU,2019-01-04,FS500,BAT025,71.2,824.14,A,3S,0.03603482,170.88
BP052621,SARDINE,2019-01-04,FS500,BAT025,2773.24,4339.64,B,nan,1.403556,7487.748174
BP052621,MAQUEREAU,2019-01-04,FS500,BAT025,62.3,0.0,A,M,0.03153047,292.81
BP052621,SARDINE,2019-01-05,FS500,BAT025,2403.89,0.0,A,nan,1.216626,6490.503174
BP052621,SARDINE,2019-01-05,FS500,BAT025,1107.16,0.0,B,nan,0.5603415,2989.332043
BP052621,MAQUEREAU,2019-01-06,FS500,BAT025,320.4,0.0,A,3S,0.1621567,768.9600543
BP052621,MAQUEREAU,2019-01-06,FS500,BAT025,606.09,0.0,A,M,0.3067464,2848.622957
BP053288,SARDINE,2019-01-15,FO001,BAT007,7933.46,7603.27,A,nan,0.445,22974.4009
BP053291,SARDINE,2019-01-15,FO001,BAT007,7121.78,6643.85,A,nan,0.4168684,20623.86744
BP053291,DECHET ENTIER,2019-01-15,FO001,BAT007,480.6,480.6,nan,nan,0.02813159,1391.76314
BP053299,SARDINE,2019-01-15,FO001,BAT024,16638.55,16113.45,A,nan,1.096758,48183.35539
BP053299,SARDINE,2019-01-15,FO001,BAT024,545.57,545.57,B,nan,0.03596216,1579.908835
BP053299,DECHET ENTIER,2019-01-15,FO001,BAT024,3068.72,3068.72,nan,nan,0.2022798,8886.665645
BP053295,SARDINE,2019-01-15,FM555,BAT041,979.0,16421.21,B,nan,0.3654258,2937.0
BP053295,MAQUEREAU,2019-01-15,FM555,BAT041,0.0,41.8033,A,M,0.0,0.0
BP053295,MAQUEREAU,2019-01-15,FM555,BAT041,0.0,303.401,A,S,0.0,0.0
BP053295,MAQUEREAU,2019-01-15,FM555,BAT041,153.97,605.378,A,2S,0.05747151,631.2769891
BP053295,MAQUEREAU,2019-01-15,FM555,BAT041,1068.0,426.399,A,3S,0.3986463,2990.4
BP053295,SARDINE,2019-01-15,FM555,BAT041,15681.8,0.0,A,nan,5.853456,47045.4
BP053354,SARDINE,2019-01-15,FO001,BAT009,7169.84,6903.73,A,nan,0.387015,20763.04467
BP053354,SARDINE,2019-01-15,FO001,BAT009,489.5,489.5,B,nan,0.02642233,1417.536527
BP053354,DECHET ENTIER,2019-01-15,FO001,BAT009,584.73,584.73,nan,nan,0.03156267,1693.311805
BP053362,SARDINE,2019-01-15,FO001,BAT009,7188.53,7088.85,A,nan,0.4128018,20817.16779
BP053362,DECHET ENTIER,2019-01-15,FO001,BAT009,560.7,560.7,nan,nan,0.03219823,1623.723627
BP053366,SARDINE,2019-01-15,FO001,BAT011,15995.97,15430.82,A,nan,1.165604,46322.51488
BP053366,SARDINE,2019-01-15,FO001,BAT011,903.35,903.35,B,nan,0.06582585,2615.999207
BP053366,DECHET ENTIER,2019-01-15,FO001,BAT011,1421.33,1421.33,nan,nan,0.1035703,4116.010552
BP053383,SARDINE,2019-01-16,FO001,BAT007,9361.02,9222.18,A,nan,0.445,27108.45264
BP053380,SARDINE,2019-01-16,FB005,BAT019,10073.02,9523.0,A,nan,0.0,33240.96461
BP053391,SARDINE,2019-01-16,FO001,BAT007,12095.1,11765.8,A,nan,0.623,35026.04039
BP053412,SARDINE,2019-01-16,FO001,BAT029,4902.12,4515.86,A,nan,0.3912931,14195.98411
BP053412,DECHET ENTIER,2019-01-16,FO001,BAT029,672.84,672.84,nan,nan,0.0537069,1948.468352
BP053414,SARDINE,2019-01-16,FO001,BAT029,4839.82,4725.9,A,nan,0.376757,14015.57051
BP053414,SARDINE,2019-01-16,FO001,BAT029,214.49,214.49,B,nan,16.69703,621.1387354
BP053414,DECHET ENTIER,2019-01-16,FO001,BAT029,662.16,662.16,nan,nan,0.05154601,1917.540417
BP053484,SARDINE,2019-01-16,FO001,BAT009,5471.72,5324.87,A,nan,0.3173851,15845.48178
BP053484,DECHET ENTIER,2019-01-16,FO001,BAT009,2200.08,2200.08,nan,nan,0.1276149,6371.182334
BP053492,SARDINE,2019-01-17,FO001,BAT029,7296.22,6783.58,A,nan,0.4751027,21129.02588
BP053492,SARDINE,2019-01-17,FO001,BAT029,129.05,129.05,B,nan,8.403255,373.7141724
BP053492,DECHET ENTIER,2019-01-17,FO001,BAT029,2142.23,2142.23,nan,nan,0.1394941,6203.655479
BP053510,LATCHA,2019-01-17,FB005,BAT019,4660.04,4681.4,A,nan,0.0,16077.13904
BP053510,MAQUEREAU,2019-01-17,FB005,BAT019,15.13,17.8,A,M,0.0,52.19850136
BP052830,SARDINE,2019-01-07,FA068,BAT019,7364.75,7280.2,A,nan,0.0,24303.675
BP053038,SARDINE,2019-01-10,FA068,BAT019,8996.12,8633.0,A,nan,0.0,29687.19461
BP053038,SARDINE,2019-01-10,FA068,BAT019,75.65,71.2,B,nan,0.0,249.645
BP053162,SARDINE,2019-01-13,FA025,BAT019,10507.34,10502.0,A,nan,0.0,42029.36
BP053162,MAQUEREAU,2019-01-13,FA025,BAT019,730.69,0.0,A,2S,0.0,2557.415
BP053162,SARDINE,2019-01-13,FA025,BAT019,973.66,979.0,B,nan,0.0,3894.64
BP053162,MAQUEREAU,2019-01-13,FA025,BAT019,1815.6,1815.6,B,3S,0.0,6354.6
BP053162,MAQUEREAU,2019-01-13,FA025,BAT019,153.97,890.0,A,M,0.0,1077.79
BP053368,SARDINE,2019-01-15,FE060,BAT019,11315.46,11356.4,A,nan,0.0,37341.0173
BP053398,SARDINE,2019-01-16,FE060,BAT019,7288.21,7209.0,A,nan,0.0,24051.0923
BP053437,SARDINE,2019-01-16,FE060,BAT019,6614.48,6942.0,A,nan,0.0,21827.78365
BP053396,SARDINE,2019-01-16,FE060,BAT019,9839.84,10057.0,A,nan,0.0,32471.4727
BP053566,SARDINE,2019-01-18,FO001,BAT007,3823.44,3635.65,A,nan,0.2124606,11072.24925
BP053566,DECHET ENTIER,2019-01-18,FO001,BAT007,4184.78,4184.78,nan,nan,0.2325395,12118.6485
BP053552,SARDINE,2019-01-18,FM555,BAT041,959.42,361.162,A,nan,0.5735109,2878.26
BP053552,MAQUEREAU,2019-01-18,FM555,BAT041,0.0,117.4266,A,L,0.0,0.0
BP053552,MAQUEREAU,2019-01-18,FM555,BAT041,2361.17,1115.17,A,M,1.411433,13930.90317
BP053552,MAQUEREAU,2019-01-18,FM555,BAT041,0.0,1879.591,A,S,0.0,0.0
BP053552,MAQUEREAU,2019-01-18,FM555,BAT041,1646.5,2055.651,A,2S,0.9842255,6750.65
BP053552,MAQUEREAU,2019-01-18,FM555,BAT041,587.4,704.969,B,3S,0.3511291,1644.72
BP053552,SARDINE,2019-01-18,FM555,BAT041,959.42,0.0,B,nan,0.5735109,2878.26
BP053552,MAQUEREAU,2019-01-18,FM555,BAT041,186.01,0.0,B,2S,0.1111909,771.9415326
BP053593,LATCHA,2019-01-18,FE060,BAT019,3110.55,3115.0,A,nan,0.0,10264.815
BP053598,LATCHA,2019-01-18,FE060,BAT019,2710.05,2759.0,A,nan,0.0,8943.165
BP053678,SARDINE,2019-01-20,FO001,BAT009,4554.13,3967.62,A,nan,0.3000481,13188.24424
BP053678,DECHET ENTIER,2019-01-20,FO001,BAT009,2200.08,2200.08,nan,nan,0.1449519,6371.182334
BP053679,SARDINE,2019-01-20,FO001,BAT009,4056.62,3129.24,A,nan,0.3089111,11747.51154
BP053679,DECHET ENTIER,2019-01-20,FO001,BAT009,1787.12,1787.12,nan,nan,0.136089,5175.296982
BP053684,SARDINE,2019-01-20,FO001,BAT007,7487.57,7226.8,A,nan,0.3748283,21683.15344
BP053684,DECHET ENTIER,2019-01-20,FO001,BAT007,1401.75,1401.75,nan,nan,0.07017171,4059.309121
BP053688,SARDINE,2019-01-20,FO001,BAT007,7193.87,7031.0,A,nan,0.3724306,20832.63154
BP053688,DECHET ENTIER,2019-01-20,FO001,BAT007,1401.75,1401.75,nan,nan,0.07256938,4059.309121
BP053694,SARDINE,2019-01-20,FO001,BAT007,7340.72,6957.13,A,nan,0.445,21257.89336
BP053706,SARDINE,2019-01-20,FO001,BAT029,9678.75,9600.43,A,nan,0.5636356,28028.56314
BP053706,SARDINE,2019-01-21,FO001,BAT029,13245.87,13245.87,A,nan,0.7713645,38358.53762
BP053701,SARDINE,2019-01-21,FO001,BAT011,18212.96,16761.37,A,nan,1.287985,52742.66895
BP053701,SARDINE,2019-01-21,FO001,BAT011,664.83,664.83,B,nan,0.04701546,1925.272292
BP053930,SARDINE,2019-01-23,FO001,BAT011,6883.26,6713.27,A,nan,0.445,19933.14053
BP053947,SARDINE,2019-01-23,FO001,BAT007,7934.35,7771.48,A,nan,0.445,22976.97877
BP054020,SARDINE,2019-01-24,FO001,BAT029,10172.7,7459.09,A,nan,0.8035308,29458.98609
BP054020,DECHET ENTIER,2019-01-24,FO001,BAT029,6728.4,6728.4,nan,nan,0.5314692,19484.68309
BP054074,SARDINE,2019-01-25,FO001,BAT011,10523.36,9903.92,A,nan,0.623,30474.45871
BP054076,SARDINE,2019-01-25,FO001,BAT009,7411.03,7293.55,A,nan,0.445,21461.50346
BP054078,SARDINE,2019-01-25,FO001,BAT009,7028.33,6543.28,A,nan,0.445,20353.2466
BP054094,SARDINE,2019-01-25,FO001,BAT007,24537.3,24110.99,A,nan,1.335,71057.23844
BP054104,SARDINE,2019-01-26,FE060,BAT019,8544.89,8633.0,A,nan,0.0,28198.13596
BP054110,SARDINE,2019-01-26,FA068,BAT019,9357.46,9843.399,A,nan,0.0,30879.6173
BP054128,SARDINE,2019-01-26,FE060,BAT019,2903.18,2954.8,A,nan,0.0,9580.493652
BP054135,SARDINE,2019-01-26,FE060,BAT019,9840.729,9701.0,A,nan,0.0,32474.40691
BP054182,SARDINE,2019-01-27,FO001,BAT009,7188.53,6901.95,A,nan,0.445,20817.16779
BP054100,SARDINE,2019-01-25,FO024,BAT019,9883.45,9790.0,A,nan,0.0,32615.385
BP053491,SARDINE,2019-01-16,FO001,BAT011,6169.48,6018.18,A,nan,0.3713422,17866.11553
BP053491,SARDINE,2019-01-16,FO001,BAT011,136.17,136.17,B,nan,8.196099,394.3328769
BP053491,DECHET ENTIER,2019-01-16,FO001,BAT011,1087.58,1087.58,nan,nan,0.06546167,3149.508359
BP054120,SARDINE,2019-01-26,FE060,BAT019,10565.19,10484.2,A,nan,0.0,34865.1277
BP054120,SARDINE,2019-01-26,FE060,BAT019,645.25,640.8,B,nan,0.0,2129.325
BP054123,SARDINE,2019-01-26,FE060,BAT019,8097.22,7689.6,A,nan,0.0,26720.82635
BP054187,SARDINE,2019-01-27,FO001,BAT009,7291.77,6978.49,A,nan,0.445,21116.14
BP054204,SARDINE,2019-01-27,FO001,BAT007,9579.96,9271.13,A,nan,0.445,27742.47855
BP054210,SARDINE,2019-01-27,FO001,BAT007,8602.74,8584.939,A,nan,0.445,24912.56016
BP054244,SARDINE,2019-01-27,FO001,BAT011,7364.75,7099.53,A,nan,0.445,21327.48197
BP054246,SARDINE,2019-01-27,FA068,BAT019,9398.399,9416.2,A,nan,0.0,31014.72
BP054246,SARDINE,2019-01-27,FA068,BAT019,113.92,106.8,B,nan,0.0,375.9359946
BP054252,SARDINE,2019-01-27,FO001,BAT011,7821.32,7467.1,A,nan,0.445,22649.65693
BP054255,SARDINE,2019-01-27,FO001,BAT011,7862.26,7662.9,A,nan,0.445,22768.21467
BP054280,SARDINE,2019-01-28,FO001,BAT029,6849.44,6679.45,A,nan,0.4426991,19835.20229
BP054280,MAQUEREAU,2019-01-28,FO001,BAT029,35.6,35.6,A,3S,2.300931,103.0935634
BP054274,SARDINE,2019-01-28,FE060,BAT019,6702.59,6817.4,A,nan,0.0,22118.54596
BP054274,DECHET ENTIER,2019-01-28,FE060,BAT019,1335.0,1335.0,nan,nan,0.0,2136.0
BP054276,SARDINE,2019-01-28,FO001,BAT029,16516.62,16206.9,A,nan,1.164017,47830.25832
BP054276,SARDINE,2019-01-28,FO001,BAT029,1016.38,1016.38,B,nan,0.07162987,2943.32126
BP054276,DECHET ENTIER,2019-01-28,FO001,BAT029,1409.76,1409.76,nan,nan,0.09935351,4082.505181
BP054287,SARDINE,2019-01-28,FO001,BAT007,6436.48,6233.56,A,nan,0.4450001,18639.31693
BP054254,SARDINE,2019-01-28,FE060,BAT019,6318.11,6319.0,A,nan,0.0,20849.7623
BP054254,DECHET ENTIER,2019-01-28,FE060,BAT019,905.13,907.8,nan,nan,0.0,1448.208065
BP054466,SARDINE,2019-02-02,FO001,BAT007,8746.03,8379.35,A,nan,0.445,25327.82859
BP054464,SARDINE,2019-02-02,FO001,BAT007,9649.38,9447.35,A,nan,0.445,27943.86018
BP054465,SARDINE,2019-02-02,FO001,BAT029,19981.39,19882.6,A,nan,1.28619,57864.56332
BP054465,DECHET ENTIER,2019-02-02,FO001,BAT029,758.28,758.28,nan,nan,0.04881003,2195.92051
BP054473,SARDINE,2019-02-02,FO001,BAT007,6801.38,6327.9,A,nan,0.445,19696.27189
BP054487,SARDINE,2019-02-02,FA068,BAT019,7120.0,7565.0,A,nan,0.0,23496.0
BP054487,DECHET ENTIER,2019-02-02,FA068,BAT019,1335.0,1335.0,nan,nan,0.0,2136.0
BP054492,SARDINE,2019-02-02,FO001,BAT011,19720.62,19620.94,A,nan,1.232231,57109.39484
BP054492,DECHET ENTIER,2019-02-02,FO001,BAT011,1644.72,1644.72,nan,nan,0.1027693,4762.982319
BP054526,SARDINE,2019-02-02,FO001,BAT009,22367.48,22278.48,B,nan,1.335,64774.49898
BP054501,SARDINE,2019-02-02,FA068,BAT019,9205.27,9558.6,A,nan,0.0,30377.38961
BP054605,SARDINE,2019-02-05,FO001,BAT011,19736.64,19553.3,A,nan,1.31601,57155.78609
BP054605,DECHET ENTIER,2019-02-05,FO001,BAT011,284.8,284.8,nan,nan,18.99004,824.7588281
BP054606,SARDINE,2019-02-05,FO001,BAT011,7849.8,7560.55,A,nan,0.445,22732.41477
BP054617,SARDINE,2019-02-05,FO001,BAT007,8443.43,8308.149,A,nan,0.445,24451.52277
BP054622,SARDINE,2019-02-05,FO001,BAT007,8779.85,8525.31,A,nan,0.445,25425.76857
BP054632,SARDINE,2019-02-05,FO001,BAT029,5887.35,5543.81,A,nan,0.3594231,17049.31107
BP054632,DECHET ENTIER,2019-02-05,FO001,BAT029,1401.75,1401.75,nan,nan,0.08557693,4059.359966
BP054630,SARDINE,2019-02-05,FO024,BAT019,10373.84,9879.0,A,nan,0.0,34233.6727
